size,path
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Edison#2023-10-29 22:59:49/2#Taunton#2023-10-30 08:31:00+00:00/2#Worcester#2023-10-30 09:26:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Edison#2023-10-29 22:59:49/2#Taunton#2023-10-30 08:31:00+00:00/2#Stratford#2023-10-30 10:45:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Edison#2023-10-29 22:59:49/2#Taunton#2023-10-30 08:31:00+00:00/2#Boston#2023-10-30 09:10:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Edison#2023-10-29 22:59:49/2#Taunton#2023-10-30 08:31:00+00:00/2#Southborough#2023-10-30 09:17:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Edison#2023-10-29 22:59:49/2#Taunton#2023-10-30 08:31:00+00:00/2#Westbrook#2023-10-30 10:55:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Edison#2023-10-29 22:59:49/2#Taunton#2023-10-30 08:31:00+00:00/2#Springfield#2023-10-30 10:14:00
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Wayne#2023-10-29 23:02:49
700,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Wayne#2023-10-29 23:02:49/3#Plympton#2023-10-28 00:25:26.185000+00:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Wayne#2023-10-29 23:02:49/3#Plympton#2023-10-28 00:25:26.185000+00:00/3#Boston#2023-10-28 01:01:26.185000
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Wayne#2023-10-29 23:02:49/3#Plympton#2023-10-28 00:25:26.185000+00:00/3#Nashua#2023-10-28 01:43:26.185000
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Wayne#2023-10-29 23:02:49/3#Plympton#2023-10-28 00:25:26.185000+00:00/3#Concord#2023-10-28 02:08:26.185000
